,Body,Tag
0,"sara ford has this market cornered.  http://blogs.msdn.com/saraford/default.aspx  more visual studio tips and tricks than you can shake a stick at.  some others:   the visual studio 2005 and 2008 3-month trial editions are fully-functional, and can be used indefinitely (forever) by setting the system clock back prior to opening vs. then, when vs is opened, set the system clock forward again so your datetimes aren't screwed up. but that's really piracy and i can't recommend it, especially when anybody with a .edu address can get a fully-functional pro version of vs2008 through microsoft dreamspark. you can use visual studio to open 3rd-party executables, and browse embedded resources (dialogs, string tables, images, etc) stored within. debugging visualizers are not exactly a ""hidden"" feature but they are somewhat neglected, and super-useful, since in addition to using the provided visualizers you can roll your own for specific data sets. debugger's ""set instruction pointer"" or ""set next statement"" command. conditional breakpoints (as kiwibastard noted). you can use quickwatch etc. to evaluate not only the value of a variable, but runtime expressions around that variable.  ",visual-studio text-editor hidden-features
1,the irc specification is laid out in rfc 1459  http://www.irchelp.org/irchelp/rfc/rfc.html ,ruby shoes irc
2,"   the real world isn't ""oo"", and the idea implicit in oo--that we can model things with some class taxonomy--seems to me very fundamentally flawed   while this is true and has been observed by other people (take stepanov, inventor of the stl), the rest is nonsense. oop may be flawed and it certainly is no silver bullet but it makes large-scale applications much simpler because it's a great way to reduce dependencies. of course, this is only true for âgoodâ oop design. sloppy design won't give any advantage. but good, decoupled design can be modelled very well using oop and not well using other techniques.  there are much better, more universal models (haskell's type model comes to mind) but these are also often more complicated and/or difficult to implement efficiently. oop is a good trade-off between extremes. ",language-agnostic oop
3,"you're already using sqlbulkcopy, which is a good start.  however, just using the sqlbulkcopy class does not necessarily mean that sql will perform a bulk copy. in particular, there are a few requirements that must be met for sql server to perform an efficient bulk insert.  further reading:   prerequisites for minimal logging in bulk import optimizing bulk import performance   out of curiosity, why is your index set up like that  it seems like containerid/binid/sequence is much better suited to be a nonclustered index. is there a particular reason you wanted this index to be clustered  ",c# sql sql-server sql-server-2005
4,"the ""class"" that you've constructed above is what most people would use a struct for in other languages. i'm not sure what the performance implications are in php, though i suspect instantiating the objects is probably more costly here, if only by a little bit.  that being said, if the cost is relatively low, it is a bit easier to manage the objects, in my opinion.  i'm only saying the following based on the title and your question, but: bear in mind that classes provide the advantage of methods and access control, as well. so if you wanted to ensure that people weren't changing weights to negative numbers, you could make the weight field private and provide some accessor methods, like getweight() and setweight(). inside setweight(), you could do some value checking, like so:  public function setweight($weight) {     if($weight &gt;= 0)     {         $this-&gt;weight = $weight;     }     else     {         // handle this scenario however you like     } }  ",php arrays class
5,"so far, from what i have seen, rmc seems to be one-of-a-kind, which is both cool, but sad :(  it seems pretty inactive, but i have posted a couple of questions on there, and amazed at the response (a lot of people just have the rss feed and wait for something to happen). so i would definately recommend just getting active on there..  however, i have read some great books on safari including ms press' ""test driven development"" which i found really helped . however i have to admit, i still need a lot of work in adjusting my brain for tdd etc.  following this question though  (+1) look forward to seeing if there is more out there  :)  edit:  just found this blog post that outlines a number of good bits of software, websites and books :) i knew i had one somewhere  ",unit-testing testing
6,try ruby2ruby ,ruby serialization lambda proc-object
7,"class producer implements runnable {    private final blockingqueue queue;    producer(blockingqueue q) { queue = q; }    public void run() {      try {        while (true) { queue.put(produce()); }      } catch (interruptedexception ex) { ... handle ...}    }    object produce() { ... }  }   class consumer implements runnable {    private final blockingqueue queue;    consumer(blockingqueue q) { queue = q; }    public void run() {      try {        while (true) { consume(queue.take()); }      } catch (interruptedexception ex) { ... handle ...}    }    void consume(object x) { ... }  }   class setup {    void main() {      blockingqueue q = new somequeueimplementation();      producer p = new producer(q);      consumer c1 = new consumer(q);      consumer c2 = new consumer(q);      new thread(p).start();      new thread(c1).start();      new thread(c2).start();    }  }   this example was taken from the jdk 1.6 docs of blockingqueue. so you can see that you are doing it the right way. here's the quote which tells you that it have to work:     memory consistency effects: as with   other concurrent collections, actions   in a thread prior to placing an object   into a blockingqueue happen-before   actions subsequent to the access or   removal of that element from the   blockingqueue in another thread.  ",java concurrency
8,lolcode:  sorry i couldn't resist xd  hai can has stdio  i has a var i has a int i has a cheezburger i has a factorialnum im in yr loop     up var  1     tiemzd int  [cheezburger]     up factorialnum  1     iz var bigger than factorialnum  gtfo im outta yr loop u seez int kthxbye  ,algorithm language-agnostic
9,"one strategy you could use is mvcc, multi-value concurrency control.  in this scheme, you never do updates to any of your tables, you just do inserts, maintaining version numbers for each record.  this has the advantage of providing an exact snapshot from any point in time, and it also completely sidesteps the update lock problems that plague many databases.  but it makes for a huge database, and selects all require an extra clause to select the current version of a record. ",database database-design postgresql
10,"i know a few of the developers on the carleton university developed blindside project.  they are actively developing an open-source web conferencing and presentation tool for e-learning, with the intent of eventually offering university courses online.  it's pretty fully featured software, and is meant to be installed as a server that can host many conference rooms at a time.  it has voice, video, text, and a whiteboard/slideshow (edit: supports pdf at the moment) capability.  one feature i think it neat is that students can 'raise their hands' in the class to ask the instructor a question, where they can take the floor for a moment.  check out the demo on the site (if it's not working anymore i'll nudge the developers).  another pro is that the clients only need to have flash installed.  i just logged onto the online demo and created this preview:  this project is now called bigbluebutton : http://code.google.com/p/bigbluebutton/  here is the demo: http://demo.bigbluebutton.org/ ",product
11,"tinymce only goes out of its way to disable spell-checking when you don't specify the gecko_spellcheck option (i verified this with their example code). might want to double-check your tinymce.init() call - it should look something like this:  tinymce.init({  mode : ""textareas"",  theme : ""simple"",  gecko_spellcheck : true });  ",javascript spell-checking
12,"programatically or manually   manually, i prefer adexplorer, which is a nice active directory browser. you just connect to your domain controller and then you can look for the user and see all the details. of course, you need permissions on the domain controller, not sure which though.  programatically, it depends on your language of couse. on .net, the system.directoryservices namespace is your friend. (i don't have any code examples here unfortunately)  for active directory, i'm not really an expert apart from how to query it, but here are two links i found useful:  http://www.computerperformance.co.uk/logon/ldap_attributes_active_directory.htm  http://en.wikipedia.org/wiki/active_directory (general stuff about the structure of ad) ",windows active-directory groups
13,"let me be general [then specific]:   your ide of choice [vs 2008 here] your debugger [it is usually part of your ide, but sometimes windbg is needed] its plugins for refactoring and source control [resharper 4+ and ankh svn 2+] your os's addons for source control [tortoise svn] a better diff and merge tool to plug into the above scm tools [winmerge] a fast loading text editor for when your ide is too much [vim, notepad++] if you're doing web development, get tools for that [firefox 3 with add-ons: web developer, firebug, tamperdata, poster, firecookie, fireftp, firephp, rainbow for firebug, reloadevery, selenium ide] requisite tools for working with text [gnu textutils, via cygwin or gnuwin32.sf.net] scripting tools [perl, python, zsh, all those gnu base packages in cygwin] a regular expression testing tool for when your eyes hurt [expresso, regexbuddy]   for java i swap out 1 and 3 with eclipse, and its plugins for maven and svn, i haven't found a refactoring plug in... you'd think i'd use intellij idea but i never started using it. ",windows-vista
14,"there are a few ambiguities in your question. what operation needs to be successful   for everything you want to know about drag and drop, browse through these search results (multiple pages worth):  raymond chen on drag and drop ",c# c++ windows winapi com
15,"anything but visual source safe; preferably one which supports the concepts of branching and merging. as others have said, subversion is a great choice, especially with the tortoisesvn client.  be sure to check out (pardon the pun) eric sink's classic series of source control howto articles. ",version-control
16,"not sure what the confusion is. sites on your intranet are in the intranet zone, web sites are in the internet zone, and sites on your computer are in the local zone, unless you've specifically overridden something in the browser's preferences. ",security internet-explorer-7 security-zone
17,"i don't mean this to sound snarky, but it doesn't matter.  seriously.  look at the things that are important: your project, your code, your job, your personal life. none of them are going to have their success rest on whether or not you use the ""this"" keyword to qualify access to fields. the this keyword will not help you ship on time. it's not going to reduce bugs, it's not going to have any appreciable effect on code quality or maintainability. it's not going to get you a raise, or allow you to spend less time at the office.   it's really just a style issue. if you like ""this"", then use it. if you don't, then don't. if you need it to get correct semantics then use it. the truth is, every programmer has his own unique programing style. that style reflects that particular programmer's notions of what the ""most aesthetically pleasing code"" should look like. by definition, any other programmer who reads your code is going to have a different programing style. that means there is always going to be something you did that the other guy doesn't like, or would have done differently. at some point some guy is going to read your code and grumble about something.   i wouldn't fret over it. i would just make sure the code is as aesthetically pleasing as possible according to your own tastes. if you ask 10 programmers how to format code, you are going to get about 15 different opinions. a better thing to focus on is how the code is factored. are things abstracted right  did i pick meaningful names for things  is there a lot of code duplication  are there ways i can simplify stuff  getting those things right, i think, will have the greatest positive impact on your project, your code, your job, and your life. coincidentally, it will probably also cause the other guy to grumble the least. if your code works, is easy to read, and is well factored, the other guy isn't going to be scrutinizing how you initialize fields. he's just going to use your code, marvel at it's greatness, and then move on to something else. ",c# coding-style
